"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_All","Prod_Merc_Positions_Short_All","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_All","M_Money_Positions_Short_All","M_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap__Positions_Short_Old","Swap__Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap__Positions_Short_Other","Swap__Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Other","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Other","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"PJM PPL ZONE DA OFF-PEAK FIXED - ICE FUTURES ENERGY DIV",260224,2026-02-24,0643D7,IFED,01,064 ,   19582,    9519,    7342,    7541,   11025,     335,    1670,       0,       0,       0,     630,     250,   19315,   19582,     267,       0,   19582,    9519,    7342,    7541,   11025,     335,    1670,       0,       0,       0,     630,     250,   19315,   19582,     267,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     310,     190,     310,       0,    -120,     120,       0,       0,       0,       0,       0,       0,     310,     310,       0,       0,  100.0,   48.6,   37.5,   38.5,   56.3,    1.7,    8.5,    0.0,    0.0,    0.0,    3.2,    1.3,   98.6,  100.0,    1.4,    0.0,  100.0,   48.6,   37.5,   38.5,   56.3,    1.7,    8.5,    0.0,    0.0,    0.0,    3.2,    1.3,   98.6,  100.0,    1.4,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,     11,      9,.,      4,.,.,      0,      0,      0,.,.,     17,     17,     23,     11,      9,.,      4,.,.,      0,      0,      0,.,.,     17,     17,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    68.1,    77.2,    87.6,    91.9,    61.4,    73.6,    78.1,    81.3,    68.1,    77.2,    87.6,    91.9,    61.4,    73.6,    78.1,    81.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","0643D7","IFED","064 ","N16","FutOnly"
"PJM PPL ZONE DA OFF-PEAK FIXED - ICE FUTURES ENERGY DIV",260217,2026-02-17,0643D7,IFED,01,064 ,   19272,    9329,    7032,    7541,   11145,     215,    1670,       0,       0,       0,     630,     250,   19005,   19272,     267,       0,   19272,    9329,    7032,    7541,   11145,     215,    1670,       0,       0,       0,     630,     250,   19005,   19272,     267,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     -55,    -105,     -55,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -105,     -55,      50,       0,  100.0,   48.4,   36.5,   39.1,   57.8,    1.1,    8.7,    0.0,    0.0,    0.0,    3.3,    1.3,   98.6,  100.0,    1.4,    0.0,  100.0,   48.4,   36.5,   39.1,   57.8,    1.1,    8.7,    0.0,    0.0,    0.0,    3.3,    1.3,   98.6,  100.0,    1.4,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,     10,      9,.,      4,.,.,      0,      0,      0,.,.,     15,     17,     23,     10,      9,.,      4,.,.,      0,      0,      0,.,.,     15,     17,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    69.2,    77.9,    89.6,    91.0,    63.9,    74.8,    79.4,    81.5,    69.2,    77.9,    89.6,    91.0,    63.9,    74.8,    79.4,    81.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","0643D7","IFED","064 ","N16","FutOnly"
"PJM PPL ZONE DA OFF-PEAK FIXED - ICE FUTURES ENERGY DIV",260210,2026-02-10,0643D7,IFED,01,064 ,   19327,    9434,    7087,    7541,   11145,     215,    1670,       0,       0,       0,     630,     250,   19110,   19327,     217,       0,   19327,    9434,    7087,    7541,   11145,     215,    1670,       0,       0,       0,     630,     250,   19110,   19327,     217,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1259,    -659,    -482,    -131,    -637,     -95,    -335,       0,       0,       0,     -20,     -25,   -1245,   -1259,     -14,       0,  100.0,   48.8,   36.7,   39.0,   57.7,    1.1,    8.6,    0.0,    0.0,    0.0,    3.3,    1.3,   98.9,  100.0,    1.1,    0.0,  100.0,   48.8,   36.7,   39.0,   57.7,    1.1,    8.6,    0.0,    0.0,    0.0,    3.3,    1.3,   98.9,  100.0,    1.1,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,     10,      9,.,      4,.,.,      0,      0,      0,.,.,     15,     17,     23,     10,      9,.,      4,.,.,      0,      0,      0,.,.,     15,     17,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    69.3,    77.6,    89.6,    90.8,    64.0,    74.6,    79.5,    81.3,    69.3,    77.6,    89.6,    90.8,    64.0,    74.6,    79.5,    81.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","0643D7","IFED","064 ","N16","FutOnly"
"PJM PPL ZONE DA OFF-PEAK FIXED - ICE FUTURES ENERGY DIV",260203,2026-02-03,0643D7,IFED,01,064 ,   20586,   10093,    7569,    7672,   11782,     310,    2005,       0,       0,       0,     650,     275,   20355,   20586,     231,       0,   20586,   10093,    7569,    7672,   11782,     310,    2005,       0,       0,       0,     650,     275,   20355,   20586,     231,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      60,       0,      60,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      60,      60,       0,  100.0,   49.0,   36.8,   37.3,   57.2,    1.5,    9.7,    0.0,    0.0,    0.0,    3.2,    1.3,   98.9,  100.0,    1.1,    0.0,  100.0,   49.0,   36.8,   37.3,   57.2,    1.5,    9.7,    0.0,    0.0,    0.0,    3.2,    1.3,   98.9,  100.0,    1.1,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,     10,      9,.,      4,.,.,      0,      0,      0,.,.,     15,     17,     23,     10,      9,.,      4,.,.,      0,      0,      0,.,.,     15,     17,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    70.1,    76.7,    89.4,    89.6,    65.2,    73.7,    79.7,    80.9,    70.1,    76.7,    89.4,    89.6,    65.2,    73.7,    79.7,    80.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","0643D7","IFED","064 ","N16","FutOnly"
"PJM PPL ZONE DA OFF-PEAK FIXED - ICE FUTURES ENERGY DIV",260127,2026-01-27,0643D7,IFED,01,064 ,   20526,   10093,    7509,    7672,   11782,     310,    2005,       0,       0,       0,     650,     275,   20355,   20526,     171,       0,   20526,   10093,    7509,    7672,   11782,     310,    2005,       0,       0,       0,     650,     275,   20355,   20526,     171,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      60,       0,       0,       0,       2,       0,       0,       0,       0,       0,      60,       0,       0,      62,      60,      -2,  100.0,   49.2,   36.6,   37.4,   57.4,    1.5,    9.8,    0.0,    0.0,    0.0,    3.2,    1.3,   99.2,  100.0,    0.8,    0.0,  100.0,   49.2,   36.6,   37.4,   57.4,    1.5,    9.8,    0.0,    0.0,    0.0,    3.2,    1.3,   99.2,  100.0,    0.8,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,     10,      9,.,      4,.,.,      0,      0,      0,.,.,     15,     17,     24,     10,      9,.,      4,.,.,      0,      0,      0,.,.,     15,     17,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    70.3,    77.0,    89.7,    89.6,    65.6,    74.0,    80.3,    81.3,    70.3,    77.0,    89.7,    89.6,    65.6,    74.0,    80.3,    81.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","0643D7","IFED","064 ","N16","FutOnly"
"PJM PPL ZONE DA OFF-PEAK FIXED - ICE FUTURES ENERGY DIV",260120,2026-01-20,0643D7,IFED,01,064 ,   20466,   10093,    7509,    7672,   11780,     310,    2005,       0,       0,       0,     590,     275,   20355,   20464,     111,       2,   20466,   10093,    7509,    7672,   11780,     310,    2005,       0,       0,       0,     590,     275,   20355,   20464,     111,       2,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   49.3,   36.7,   37.5,   57.6,    1.5,    9.8,    0.0,    0.0,    0.0,    2.9,    1.3,   99.5,  100.0,    0.5,    0.0,  100.0,   49.3,   36.7,   37.5,   57.6,    1.5,    9.8,    0.0,    0.0,    0.0,    2.9,    1.3,   99.5,  100.0,    0.5,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,     10,      9,.,.,.,.,      0,      0,      0,.,.,     15,     16,     23,     10,      9,.,.,.,.,      0,      0,      0,.,.,     15,     16,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    70.5,    77.4,    90.0,    90.1,    65.8,    74.4,    80.5,    81.7,    70.5,    77.4,    90.0,    90.1,    65.8,    74.4,    80.5,    81.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","0643D7","IFED","064 ","N16","FutOnly"
"PJM PPL ZONE DA OFF-PEAK FIXED - ICE FUTURES ENERGY DIV",260113,2026-01-13,0643D7,IFED,01,064 ,   20466,   10093,    7509,    7672,   11780,     310,    2005,       0,       0,       0,     590,     275,   20355,   20464,     111,       2,   20466,   10093,    7509,    7672,   11780,     310,    2005,       0,       0,       0,     590,     275,   20355,   20464,     111,       2,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     120,       0,    -120,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   49.3,   36.7,   37.5,   57.6,    1.5,    9.8,    0.0,    0.0,    0.0,    2.9,    1.3,   99.5,  100.0,    0.5,    0.0,  100.0,   49.3,   36.7,   37.5,   57.6,    1.5,    9.8,    0.0,    0.0,    0.0,    2.9,    1.3,   99.5,  100.0,    0.5,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,     10,      9,.,.,.,.,      0,      0,      0,.,.,     15,     16,     23,     10,      9,.,.,.,.,      0,      0,      0,.,.,     15,     16,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    70.5,    77.4,    90.0,    90.1,    65.8,    74.4,    80.5,    81.7,    70.5,    77.4,    90.0,    90.1,    65.8,    74.4,    80.5,    81.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","0643D7","IFED","064 ","N16","FutOnly"
"PJM PPL ZONE DA OFF-PEAK FIXED - ICE FUTURES ENERGY DIV",260106,2026-01-06,0643D7,IFED,01,064 ,   20466,    9973,    7509,    7792,   11780,     310,    2005,       0,       0,       0,     590,     275,   20355,   20464,     111,       2,   20466,    9973,    7509,    7792,   11780,     310,    2005,       0,       0,       0,     590,     275,   20355,   20464,     111,       2,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1287,    -829,    -452,    -332,    -835,      -2,     -50,       0,       0,     -30,       0,       0,   -1243,   -1289,     -44,       2,  100.0,   48.7,   36.7,   38.1,   57.6,    1.5,    9.8,    0.0,    0.0,    0.0,    2.9,    1.3,   99.5,  100.0,    0.5,    0.0,  100.0,   48.7,   36.7,   38.1,   57.6,    1.5,    9.8,    0.0,    0.0,    0.0,    2.9,    1.3,   99.5,  100.0,    0.5,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     23,     10,      9,.,.,.,.,      0,      0,      0,.,.,     15,     16,     23,     10,      9,.,.,.,.,      0,      0,      0,.,.,     15,     16,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    70.5,    77.4,    90.5,    90.1,    65.8,    74.4,    81.1,    81.7,    70.5,    77.4,    90.5,    90.1,    65.8,    74.4,    81.1,    81.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","0643D7","IFED","064 ","N16","FutOnly"
"PJM PPL ZONE DA PEAK - ICE FUTURES ENERGY DIV",260414,2026-04-14,0643D8,IFED,01,064 ,   18512,    8217,    6859,    8007,   10325,     463,    1335,      75,       0,       0,     565,     225,   18247,   18512,     265,       0,   18512,    8217,    6859,    8007,   10325,     463,    1335,      75,       0,       0,     565,     225,   18247,   18512,     265,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   44.4,   37.1,   43.3,   55.8,    2.5,    7.2,    0.4,    0.0,    0.0,    3.1,    1.2,   98.6,  100.0,    1.4,    0.0,  100.0,   44.4,   37.1,   43.3,   55.8,    2.5,    7.2,    0.4,    0.0,    0.0,    3.1,    1.2,   98.6,  100.0,    1.4,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,     10,      8,      5,.,      4,.,.,      0,      0,.,.,     19,     16,     24,     10,      8,      5,.,      4,.,.,      0,      0,.,.,     19,     16,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    65.2,    78.3,    86.3,    93.0,    58.1,    73.6,    77.0,    81.0,    65.2,    78.3,    86.3,    93.0,    58.1,    73.6,    77.0,    81.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","0643D8","IFED","064 ","N16","FutOnly"
"PJM PPL ZONE DA PEAK - ICE FUTURES ENERGY DIV",260407,2026-04-07,0643D8,IFED,01,064 ,   18512,    8217,    6859,    8007,   10325,     463,    1335,      75,       0,       0,     565,     225,   18247,   18512,     265,       0,   18512,    8217,    6859,    8007,   10325,     463,    1335,      75,       0,       0,     565,     225,   18247,   18512,     265,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -911,    -718,    -306,    -273,    -585,       0,       0,      25,       0,       0,     -45,       0,    -991,    -911,      80,       0,  100.0,   44.4,   37.1,   43.3,   55.8,    2.5,    7.2,    0.4,    0.0,    0.0,    3.1,    1.2,   98.6,  100.0,    1.4,    0.0,  100.0,   44.4,   37.1,   43.3,   55.8,    2.5,    7.2,    0.4,    0.0,    0.0,    3.1,    1.2,   98.6,  100.0,    1.4,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     24,     10,      8,      5,.,      4,.,.,      0,      0,.,.,     19,     16,     24,     10,      8,      5,.,      4,.,.,      0,      0,.,.,     19,     16,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    65.2,    78.3,    86.3,    93.0,    58.1,    73.6,    77.0,    81.0,    65.2,    78.3,    86.3,    93.0,    58.1,    73.6,    77.0,    81.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","0643D8","IFED","064 ","N16","FutOnly"
"PJM PPL ZONE DA PEAK - ICE FUTURES ENERGY DIV",260331,2026-03-31,0643D8,IFED,01,064 ,   19423,    8935,    7165,    8280,   10910,     463,    1335,      50,       0,       0,     610,     225,   19238,   19423,     185,       0,   19423,    8935,    7165,    8280,   10910,     463,    1335,      50,       0,       0,     610,     225,   19238,   19423,     185,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      53,      50,     -40,      20,     -70,     113,       0,      50,       0,       0,       0,       0,     183,      53,    -130,       0,  100.0,   46.0,   36.9,   42.6,   56.2,    2.4,    6.9,    0.3,    0.0,    0.0,    3.1,    1.2,   99.0,  100.0,    1.0,    0.0,  100.0,   46.0,   36.9,   42.6,   56.2,    2.4,    6.9,    0.3,    0.0,    0.0,    3.1,    1.2,   99.0,  100.0,    1.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     25,     11,      9,      5,.,      4,.,.,      0,      0,.,.,     20,     17,     25,     11,      9,      5,.,      4,.,.,      0,      0,.,.,     20,     17,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    65.9,    78.5,    86.0,    93.2,    59.1,    73.4,    77.3,    81.6,    65.9,    78.5,    86.0,    93.2,    59.1,    73.4,    77.3,    81.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","0643D8","IFED","064 ","N16","FutOnly"
"PJM PPL ZONE DA PEAK - ICE FUTURES ENERGY DIV",260324,2026-03-24,0643D8,IFED,01,064 ,   19370,    8885,    7205,    8260,   10980,     350,    1335,       0,       0,       0,     610,     225,   19055,   19370,     315,       0,   19370,    8885,    7205,    8260,   10980,     350,    1335,       0,       0,       0,     610,     225,   19055,   19370,     315,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      95,     -15,      95,       0,    -110,     110,       0,       0,       0,       0,       0,       0,      95,      95,       0,       0,  100.0,   45.9,   37.2,   42.6,   56.7,    1.8,    6.9,    0.0,    0.0,    0.0,    3.1,    1.2,   98.4,  100.0,    1.6,    0.0,  100.0,   45.9,   37.2,   42.6,   56.7,    1.8,    6.9,    0.0,    0.0,    0.0,    3.1,    1.2,   98.4,  100.0,    1.6,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,     10,      9,      4,.,.,.,      0,      0,      0,.,.,     18,     15,     22,     10,      9,      4,.,.,.,      0,      0,      0,.,.,     18,     15,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    66.0,    78.7,    86.2,    93.4,    58.7,    73.9,    77.0,    82.2,    66.0,    78.7,    86.2,    93.4,    58.7,    73.9,    77.0,    82.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","0643D8","IFED","064 ","N16","FutOnly"
"PJM PPL ZONE DA PEAK - ICE FUTURES ENERGY DIV",260317,2026-03-17,0643D8,IFED,01,064 ,   19275,    8900,    7110,    8260,   11090,     240,    1335,       0,       0,       0,     610,     225,   18960,   19275,     315,       0,   19275,    8900,    7110,    8260,   11090,     240,    1335,       0,       0,       0,     610,     225,   18960,   19275,     315,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  100.0,   46.2,   36.9,   42.9,   57.5,    1.2,    6.9,    0.0,    0.0,    0.0,    3.2,    1.2,   98.4,  100.0,    1.6,    0.0,  100.0,   46.2,   36.9,   42.9,   57.5,    1.2,    6.9,    0.0,    0.0,    0.0,    3.2,    1.2,   98.4,  100.0,    1.6,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     22,     10,      8,      4,.,.,.,      0,      0,      0,.,.,     17,     14,     22,     10,      8,      4,.,.,.,      0,      0,      0,.,.,     17,     14,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    66.4,    79.1,    86.7,    93.9,    59.6,    74.9,    77.9,    83.1,    66.4,    79.1,    86.7,    93.9,    59.6,    74.9,    77.9,    83.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"1 MW","0643D8","IFED","064 ","N16","FutOnly"
